date,USD_Index,Gold_Price,S&P_500,NASDAQ_Composite,WTI_Oil_Price,Copper_Price,Fed_Funds_Rate,UST_10Y_Yield,Term_Spread_10Y_2Y,VIX,Fed_Balance_Sheet_Total,RRP_Balance,TGA_Balance,Govt_Debt_Total,Nonfarm_Payrolls,Initial_Claims,Unemployment_Rate,JOLTS_Job_Openings,CPI_YoY,Core_PCE_YoY,Inflation_Expectation_5Y,OECD_CLI_US,Chicago_NFCI,WEI,CCC_Credit_Spread_Approx
2016/2/17,113.8634,1208.31,1926.82,4534.06,30.68,4598.619048,0.38,1.81,1.07,22.31,4483629,52.098,-192614.0017,19264939,143407,269750,4.9,5770,0,0,1.04,100.0118,-0.27209,1.41,-0.2
2016/2/18,113.8897,1230.65,1917.83,4487.54,30.77,4598.619048,0.38,1.75,1.04,21.64,4483629,71.581,-192614.0017,19264939,143407,269750,4.9,5770,0,0,1.02,100.0118,-0.27209,1.41,-0.14
2016/2/19,113.9558,1227.29,1917.78,4504.43,29.59,4598.619048,0.38,1.76,1,20.53,4483629,59.088,-192614.0017,19264939,143407,269750,4.9,5770,0,0,1.06,100.0118,-0.28278,1.41,-0.16
2016/2/20,113.9558,1227.29,1917.78,4504.43,29.59,4598.619048,0.38,1.76,1,20.53,4483629,59.088,-192614.0017,19264939,143407,270000,4.9,5770,4.218587747,4.401514829,1.06,100.0118,-0.28278,1.52,-0.16
2016/2/21,113.9558,1227.29,1917.78,4504.43,29.59,4598.619048,0.38,1.76,1,20.53,4483629,59.088,-192614.0017,19264939,143407,270000,4.9,5770,4.218587747,4.401514829,1.06,100.0118,-0.28278,1.52,-0.16
2016/2/22,113.8232,1208.42,1945.5,4570.61,31.37,4598.619048,0.38,1.77,0.99,19.38,4483629,54.405,-192614.0017,19264939,143407,270000,4.9,5770,0,0,1.11,100.0118,-0.28278,1.52,-0.17
2016/2/23,114.177,1226.44,1921.27,4503.58,31.84,4598.619048,0.38,1.74,0.98,20.98,4483629,64.808,-192614.0017,19264939,143407,270000,4.9,5770,0,0,1.13,100.0118,-0.28278,1.52,-0.14
2016/2/24,114.1716,1229.17,1929.8,4542.61,30.35,4598.619048,0.38,1.75,1,20.72,4489796,41.065,-192614.0017,19264939,143407,270000,4.9,5770,0,0,1.15,100.0118,-0.28278,1.52,-0.15
2016/2/25,113.9222,1233.2,1951.7,4582.2,31.4,4598.619048,0.38,1.71,0.99,19.11,4489796,43.818,-192614.0017,19264939,143407,270000,4.9,5770,0,0,1.18,100.0118,-0.28278,1.52,-0.11
2016/2/26,114.3708,1223.32,1948.05,4590.47,31.65,4598.619048,0.38,1.76,0.96,19.81,4489796,56.919,-192614.0017,19264939,143407,270000,4.9,5770,0,0,1.2,100.0118,-0.29902,1.52,-0.19
